COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,2023-12-29,217124,90493,203,85,84363,79,,2021-02-17,,35659,33
Afghanistan,AFG,EMRO,REPORTING,2023-12-31,22964750,19151369,59,49,18370386,47,,2021-02-22,,2729940,7
Angola,AGO,AFRO,REPORTING,2023-12-31,27819132,16550642,85,50,9609080,29,,2021-03-10,,3067091,9
Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864,10858,166,72,10382,69,,2021-02-05,,3231,22
Albania,ALB,EURO,REPORTING,2023-12-23,3088966,1349255,107,47,1279333,44,,2021-01-13,,402371,14
Andorra,AND,EURO,REPORTING,2023-12-23,157072,57913,203,75,53501,69,,2021-01-20,,43071,56
Argentina,ARG,AMRO,REPORTING,2023-12-29,116686617,41188650,258,91,38090133,84,,2020-12-29,,27718875,61
Armenia,ARM,EURO,REPORTING,2023-12-23,2256919,1150915,76,39,1030758,35,,2021-01-27,,81354,3
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512,64290,139,66,62384,64,,2021-03-01,,9838,10
Australia,AUS,WPRO,REPORTING,2023-12-31,69686752,22443557,273,88,21766240,85,,2021-02-21,,14391682,56
Austria,AUT,EURO,REPORTING,2023-12-23,20403676,6909588,229,78,6682372,75,,2020-12-30,,5405966,61
Azerbaijan,AZE,EURO,REPORTING,2023-12-23,13829360,5436662,136,54,4888112,48,,2021-01-20,,3504588,35
Burundi,BDI,AFRO,REPORTING,2023-12-31,42252,36909,,,36321,,,2021-10-18,,314,
Belgium,BEL,EURO,REPORTING,2023-12-23,29117755,9248897,253,80,9152736,79,,2020-12-30,,7246551,63
Benin,BEN,AFRO,REPORTING,2023-12-31,4232541,3697190,35,30,2742837,23,,2021-03-29,,,
Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609,6089089,38,29,5232347,25,,2021-06-02,,4056,
Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016,2155863,68,31,2080472,30,,2020-12-30,,864723,12
Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359,174810,93,44,166972,42,,2021-03-14,,33717,9
